time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-08 00:00:00+00:00,4,3,13.0,5.0
2023-05-09 00:00:00+00:00,3,2,16.0,7.0
2023-05-10 00:00:00+00:00,4,3,39.0,4.0
2023-05-11 00:00:00+00:00,3,2,33.0,6.0
2023-05-12 00:00:00+00:00,4,3,8.0,5.0
2023-05-13 00:00:00+00:00,3,2,72.0,3.0
2023-05-14 00:00:00+00:00,3,2,1.0,1.0
2023-05-15 00:00:00+00:00,4,3,,
2023-05-16 00:00:00+00:00,4,3,,
2023-05-17 00:00:00+00:00,3,2,2.0,2.0
2023-05-18 00:00:00+00:00,5,3,5.0,3.0
2023-05-19 00:00:00+00:00,3,2,12.0,3.0
2023-05-20 00:00:00+00:00,15,8,,
2023-05-21 00:00:00+00:00,4,2,,
