time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-01 00:00:00+00:00,4.0,3.0,22,2
2023-05-02 00:00:00+00:00,3.0,2.0,6,3
2023-05-03 00:00:00+00:00,3.0,2.0,5,2
2023-05-04 00:00:00+00:00,4.0,3.0,1,1
2023-05-05 00:00:00+00:00,3.0,2.0,17,5
2023-05-06 00:00:00+00:00,30.0,5.0,27,6
2023-05-07 00:00:00+00:00,5.0,4.0,16,8
2023-05-08 00:00:00+00:00,4.0,3.0,13,5
2023-05-09 00:00:00+00:00,3.0,2.0,16,7
2023-05-10 00:00:00+00:00,4.0,3.0,39,4
2023-05-11 00:00:00+00:00,3.0,2.0,33,6
2023-05-12 00:00:00+00:00,4.0,3.0,8,5
2023-05-13 00:00:00+00:00,3.0,2.0,72,3
2023-05-14 00:00:00+00:00,,,1,1
