time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-27 00:00:00+00:00,3,2,4.0,3.0
2023-09-28 00:00:00+00:00,13,4,,
2023-09-29 00:00:00+00:00,4,3,30.0,3.0
2023-09-30 00:00:00+00:00,25,4,,
2023-10-01 00:00:00+00:00,3,2,,
2023-10-02 00:00:00+00:00,4,3,8.0,2.0
2023-10-03 00:00:00+00:00,3,2,3.0,2.0
2023-10-04 00:00:00+00:00,3,2,1.0,1.0
2023-10-05 00:00:00+00:00,3,2,,
2023-10-06 00:00:00+00:00,4,3,10.0,3.0
2023-10-07 00:00:00+00:00,12,3,,
2023-10-08 00:00:00+00:00,3,2,2.0,1.0
2023-10-09 00:00:00+00:00,6,4,,
2023-10-10 00:00:00+00:00,2,1,14.0,2.0
