time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-23 00:00:00+00:00,9,6,16.0,5.0
2022-07-24 00:00:00+00:00,6,5,29.0,1.0
2022-07-25 00:00:00+00:00,3,3,23.0,6.0
2022-07-26 00:00:00+00:00,11,8,11.0,5.0
2022-07-27 00:00:00+00:00,2,2,2.0,2.0
2022-07-28 00:00:00+00:00,5,4,5.0,1.0
2022-07-29 00:00:00+00:00,3,2,4.0,3.0
2022-07-30 00:00:00+00:00,16,9,,
2022-07-31 00:00:00+00:00,3,3,,
2022-08-01 00:00:00+00:00,4,4,,
2022-08-02 00:00:00+00:00,3,3,8.0,2.0
2022-08-03 00:00:00+00:00,3,3,,
2022-08-04 00:00:00+00:00,3,3,1.0,1.0
2022-08-05 00:00:00+00:00,1,1,1.0,1.0
