time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-12 00:00:00+00:00,12,7,,
2022-07-13 00:00:00+00:00,2,2,,
2022-07-14 00:00:00+00:00,3,3,4.0,1.0
2022-07-15 00:00:00+00:00,8,6,,
2022-07-16 00:00:00+00:00,1,1,,
2022-07-17 00:00:00+00:00,1,1,,
2022-07-18 00:00:00+00:00,2,2,,
2022-07-19 00:00:00+00:00,4,3,5.0,3.0
2022-07-20 00:00:00+00:00,5,4,8.0,3.0
2022-07-21 00:00:00+00:00,5,5,,
2022-07-22 00:00:00+00:00,20,9,,
2022-07-23 00:00:00+00:00,9,6,16.0,5.0
2022-07-24 00:00:00+00:00,6,5,29.0,1.0
2022-07-25 00:00:00+00:00,1,1,23.0,6.0
