time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-07 00:00:00+00:00,5,4,,
2022-07-08 00:00:00+00:00,6,5,2.0,2.0
2022-07-09 00:00:00+00:00,5,4,,
2022-07-10 00:00:00+00:00,1,1,1.0,1.0
2022-07-11 00:00:00+00:00,2,2,4.0,2.0
2022-07-12 00:00:00+00:00,12,7,,
2022-07-13 00:00:00+00:00,2,2,,
2022-07-14 00:00:00+00:00,3,3,4.0,1.0
2022-07-15 00:00:00+00:00,8,6,,
2022-07-16 00:00:00+00:00,1,1,,
2022-07-17 00:00:00+00:00,1,1,,
2022-07-18 00:00:00+00:00,2,2,,
2022-07-19 00:00:00+00:00,4,3,5.0,3.0
2022-07-20 00:00:00+00:00,3,3,8.0,3.0
